Southern;SO;64.26;"
							+0.12%
					";-2.9%;-2.5%
Aflac;AFL;53.99;"
							-0.39%
					";-1.2%;-4.4%
American Water Works;AWK;178.04;"
							+0.02%
					";-3.9%;-0.9%
Cardinal Health;CAH;52.92;"
							+0.42%
					";+0.2%;+2.6%
Capital One Financial;COF;159.16;"
							-0.21%
					";+2.4%;-8.5%
CVS Health Corporation;CVS;85.11;"
							-0.36%
					";+1.3%;+0.5%
Huntington Ingalls Industries;HII;194.99;"
							-0.56%
					";-2.1%;-3.9%
Kimco Realty Corporation;KIM;21.73;"
							-0.09%
					";+2.9%;+2.8%
MetLife;MET;61.30;"
							-0.92%
					";+0.8%;+0.3%
Spirit AeroSystems Holdings;SPR;39.02;"
							-0.59%
					";+2.1%;-3.1%
Unum;UNM;24.78;"
							+2.19%
					";-4.1%;-4.9%
Western Digital;WDC;57.62;"
							-0.17%
					";-0.5%;-5.7%
Xcel Energy;XEL;64.23;"
							+0.36%
					";-5.2%;-7.5%
Zimmer Biomet Holdings;ZBH;146.72;"
							+0.12%
					";+4.4%;+1.3%
Zoetis;ZTS;200.66;"
							+0.94%
					";-3.1%;-2.0%
Chewy;CHWY;75.59;"
							-0.05%
					";+0.8%;-17.1%
Palo Alto Networks;PANW;476.37;"
							+0.08%
					";+1.6%;+31.1%
Charles Schwab;SCHW;70.43;"
							+0.07%
					";-1.6%;-2.2%
T. Rowe Price;TROW;213.51;"
							+0.31%
					";-1.4%;+1.4%
Welltower;WELL;85.83;"
							-0.84%
					";-1.1%;+1.9%
Comcast Corporation;CMCSA;56.94;"
							-0.18%
					";-3.9%;-3.5%
Ameren Corporation;AEE;83.60;"
							-0.26%
					";-4.4%;-6.3%
AES;AES;24.80;"
							+0.77%
					";+4.3%;+4.3%
Air Products & Chemicals;APD;261.00;"
							-0.19%
					";-2.2%;-4.3%
Amphenol;APH;75.72;"
							+0.07%
					";-0.3%;+2.3%
Cleveland-Cliffs;CLF;21.84;"
							-0.18%
					";-6.5%;-12.8%
Cinemark;CNK;17.86;"
							-0.33%
					";+6.0%;+21.1%
Discover Financial Services;DFS;123.64;"
							-0.03%
					";+2.6%;-4.2%
Equifax;EFX;268.49;"
							-1.00%
					";-1.7%;+4.3%
Kimberly-Clark Corporation;KMB;136.72;"
							+0.93%
					";-0.2%;+0.0%
CarMax;KMX;140.29;"
							+0.39%
					";+4.0%;+12.5%
L3Harris;LHX;222.45;"
							+0.35%
					";-4.1%;-4.5%
Northrop Grumman;NOC;353.44;"
							+0.80%
					";-0.3%;-2.7%
Prologis;PLD;130.11;"
							+0.12%
					";-3.1%;-1.7%
The J. M. Smucker;SJM;123.00;"
							-0.11%
					";+1.2%;-6.9%
Snap-on;SNA;213.60;"
							-0.16%
					";-2.3%;-4.0%
Union Pacific;UNP;201.55;"
							+0.27%
					";-2.9%;-10.4%
Bed Bath & Beyond;BBBY;24.09;"
							-0.17%
					";-1.5%;-7.5%
Cognizant Technology;CTSH;75.48;"
							-0.70%
					";-1.4%;-1.7%
S&P Global Inc;SPGI;446.36;"
							+0.08%
					";-0.8%;+3.8%
